symbol,sector,change_pct,category
SCHNEIDER,Capital Goods,1.57,neutral
SCI,Services,1.68,neutral
SHREECEM,Construction Materials,0.71,neutral
SHRIRAMFIN,Financial Services,1.84,neutral
SHYAMMETL,Capital Goods,0.32,neutral
ENRIN,Capital Goods,2.53,neutral
SIEMENS,Capital Goods,3.18,up_3_5
SIGNATURE,Realty,5.57,up_5_10
SOBHA,Realty,-2.65,neutral
SOLARINDS,Chemicals,0.52,neutral
SONACOMS,Automobile and Auto Components,-0.54,neutral
SONATSOFTW,Information Technology,-2.01,neutral
STARHEALTH,Financial Services,0.5,neutral
SBIN,Financial Services,0.79,neutral
SAIL,Metals & Mining,0.19,neutral
SUMICHEM,Chemicals,0.32,neutral
SUNPHARMA,Healthcare,0.18,neutral
SUNTV,Media Entertainment & Publication,0.19,neutral
SUNDARMFIN,Financial Services,0.78,neutral
SUNDRMFAST,Automobile and Auto Components,-1.21,neutral
SUPREMEIND,Capital Goods,2.94,neutral
SUZLON,Capital Goods,1.18,neutral
SWANCORP,Chemicals,-0.7,neutral
SWIGGY,Consumer Services,1.29,neutral
SYNGENE,Healthcare,0.16,neutral
SYRMA,Capital Goods,-0.87,neutral
TBOTEK,Consumer Services,-5.14,down_5_10
TVSMOTOR,Automobile and Auto Components,-1.48,neutral
TATACHEM,Chemicals,-0.49,neutral
TATACOMM,Telecommunication,-2.13,neutral
TCS,Information Technology,0.53,neutral
TATACONSUM,Fast Moving Consumer Goods,0.62,neutral
TATAELXSI,Information Technology,-0.06,neutral
TATAINVEST,Financial Services,0.04,neutral
TMPV,Automobile and Auto Components,-0.79,neutral
TATAPOWER,Power,2.14,neutral
TATASTEEL,Metals & Mining,1.29,neutral
TATATECH,Information Technology,-0.13,neutral
TTML,Telecommunication,-1.1,neutral
TECHM,Information Technology,-1.41,neutral
TECHNOE,Construction,0.16,neutral
TEJASNET,Telecommunication,0.76,neutral
NIACL,Financial Services,0.38,neutral
RAMCOCEM,Construction Materials,0.56,neutral
THERMAX,Capital Goods,1.3,neutral
TIMKEN,Capital Goods,-0.68,neutral
TITAGARH,Capital Goods,-1.56,neutral
TITAN,Consumer Durables,0.05,neutral
TORNTPHARM,Healthcare,4.5,up_3_5
TORNTPOWER,Power,1.64,neutral
TARIL,Capital Goods,-0.2,neutral
TRENT,Consumer Services,-0.53,neutral
TRIDENT,Textiles,-1.05,neutral
TRIVENI,Fast Moving Consumer Goods,2.32,neutral
TRITURBINE,Capital Goods,-0.12,neutral
TIINDIA,Automobile and Auto Components,0.23,neutral
UCOBANK,Financial Services,0.71,neutral
UNOMINDA,Automobile and Auto Components,-2.14,neutral
UPL,Chemicals,1.31,neutral
UTIAMC,Financial Services,0.07,neutral
ULTRACEMCO,Construction Materials,0.14,neutral
UNIONBANK,Financial Services,2.36,neutral
UBL,Fast Moving Consumer Goods,-1.03,neutral
UNITDSPR,Fast Moving Consumer Goods,-0.1,neutral
USHAMART,Capital Goods,1.48,neutral
VGUARD,Consumer Durables,-0.02,neutral
DBREALTY,Consumer Services,-2.36,neutral
VTL,Textiles,-0.44,neutral
VBL,Fast Moving Consumer Goods,1.46,neutral
MANYAVAR,Consumer Services,-4.27,down_3_5
VEDL,Metals & Mining,0.91,neutral
VENTIVE,Consumer Services,-1.52,neutral
VIJAYA,Healthcare,2.11,neutral
VMM,Consumer Services,-1.51,neutral
IDEA,Telecommunication,1.15,neutral
VOLTAS,Consumer Durables,0.34,neutral
WAAREEENER,Capital Goods,0.65,neutral
WELCORP,Capital Goods,1.12,neutral
WELSPUNLIV,Textiles,-1.99,neutral
WHIRLPOOL,Consumer Durables,-0.02,neutral
WIPRO,Information Technology,-0.39,neutral
WOCKPHARMA,Healthcare,-0.34,neutral
YESBANK,Financial Services,0.48,neutral
ZFCVINDIA,Automobile and Auto Components,0.73,neutral
ZEEL,Media Entertainment & Publication,-1.53,neutral
ZENTEC,Capital Goods,1.22,neutral
ZENSARTECH,Information Technology,-2.07,neutral
ZYDUSLIFE,Healthcare,0.64,neutral
ECLERX,Services,-1.01,neutral
